1612 1611 253:3 / / ro,relatime master:1 - ext4 /dev/block/dm-3 ro,seclabel
1613 1612 0:16 / /dev rw,nosuid,relatime master:2 - tmpfs tmpfs rw,seclabel,size=3892960k,nr_inodes=973240,mode=755
1614 1613 0:17 / /dev/pts rw,relatime master:3 - devpts devpts rw,seclabel,mode=600,ptmxmode=000
1615 1613 0:23 / /dev/cpuctl rw,nosuid,nodev,noexec,relatime master:14 - cgroup none rw,cpu
1616 1613 0:24 / /dev/cpuset rw,nosuid,nodev,noexec,relatime master:15 - cgroup none rw,cpuset,noprefix,release_agent=/sbin/cpuset_release_agent
1617 1613 0:25 / /dev/memcg rw,nosuid,nodev,noexec,relatime master:16 - cgroup none rw,memory
1618 1613 0:26 / /dev/stune rw,nosuid,nodev,noexec,relatime master:17 - cgroup none rw,schedtune
1619 1613 0:27 / /dev/binderfs rw,relatime master:20 - binder binder rw,max=1048576,stats=global
1620 1613 0:31 / /dev/usb-ffs/adb rw,relatime master:32 - functionfs adb rw
1621 1613 0:32 / /dev/usb-ffs/mtp rw,relatime master:33 - functionfs mtp rw
1622 1613 0:33 / /dev/usb-ffs/ptp rw,relatime master:34 - functionfs ptp rw
1623 1612 0:4 / /proc rw,relatime master:4 - proc proc rw,gid=3009,hidepid=2
1624 1612 0:18 / /sys rw,relatime master:5 - sysfs sysfs rw,seclabel
1625 1624 0:15 / /sys/fs/selinux rw,relatime master:6 - selinuxfs selinuxfs rw
1626 1624 0:22 / /sys/fs/cgroup rw,nosuid,nodev,noexec,relatime master:13 - cgroup2 none rw
1627 1626 0:37 / /sys/fs/cgroup/freezer rw,relatime master:37 - cgroup none rw,freezer
1628 1624 0:9 / /sys/kernel/tracing rw,relatime master:18 - tracefs tracefs rw,seclabel
1629 1624 0:28 / /sys/fs/fuse/connections rw,relatime master:21 - fusectl none rw
1630 1624 0:29 / /sys/fs/bpf rw,nosuid,nodev,noexec,relatime master:22 - bpf bpf rw
1631 1624 0:30 / /sys/fs/pstore rw,nosuid,nodev,noexec,relatime master:23 - pstore pstore rw,seclabel
1632 1612 0:19 / /mnt rw,nosuid,nodev,noexec,relatime master:7 - tmpfs tmpfs rw,seclabel,size=3892960k,nr_inodes=973240,mode=755,gid=1000
1633 1632 0:19 /user /mnt/installer rw,nosuid,nodev,noexec,relatime master:11 - tmpfs tmpfs rw,seclabel,size=3892960k,nr_inodes=973240,mode=755,gid=1000
1634 1633 0:69 / /mnt/installer/0/emulated rw,nosuid,nodev,noexec,noatime master:41 - fuse /dev/fuse rw,lazytime,user_id=0,group_id=0,allow_other
1635 1634 0:68 /0/Android/data /mnt/installer/0/emulated/0/Android/data rw,nosuid,nodev,noexec,noatime master:42 - sdcardfs /data/media rw,fsuid=1023,fsgid=1023,gid=1015,multiuser,mask=6,derive_gid,default_normal,unshared_obb
1636 1634 0:68 /0/Android/obb /mnt/installer/0/emulated/0/Android/obb rw,nosuid,nodev,noexec,noatime master:38 - sdcardfs /data/media rw,fsuid=1023,fsgid=1023,gid=9997,multiuser,mask=7,derive_gid,default_normal,unshared_obb
